STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter_0,mean_diff_pers_spring_0,mean_diff_pers_summer_0,mean_diff_pers_autumn_0,mean_diff_pers_winter_1,mean_diff_pers_spring_1,mean_diff_pers_summer_1,mean_diff_pers_autumn_1
DRESDEN WAHNSDORF,43,+51:07:00,+013:40:59,1.3158148148148145,1.499782608695651,1.2881521739130406,0.5100732600732591,-0.008597642558841078,0.030583875790657047,0.02192344972281928,-0.0022422579373662915,0.03804892011795102,-0.022738794826124842,0.0023022463408470493,0.03323816052878664
FRANKFURT,44,+50:02:47,+008:35:54,1.5305555555555557,1.6523550724637683,1.684927536231882,1.1803663003662983,0.0003506779723649125,0.019999050623875546,0.047801405439943656,0.002465943675940381,0.07607965178487225,0.027584327748023836,0.01420158318832294,0.04326538174727671
HAMBURG FUHLSBUETTEL,47,+53:38:06,+009:59:24,1.4522592592592594,1.536739130434782,1.2280072463768121,0.7333333333333325,-0.02212811487217783,0.011470695628772903,0.04179428178017769,0.030796353126072894,0.03335788335732599,0.02468786221564615,0.05681702630707839,0.03696041670052239
HOHENPEISSENBERG,48,+47:48:06,+011:00:42,1.168814814814815,1.5255072463768116,1.6864855072463758,0.7154578754578749,0.018677459502807307,-0.004466611981751258,0.03841237698337952,0.028835748478796972,-0.02485176108613951,-0.03450464451455758,0.006177569299916576,0.004177068291973417
JENA STERNWARTE,49,+50:55:36,+011:35:03,1.291037037037037,1.4240579710144932,1.4122101449275348,0.6604761904761904,0.0029824709075320704,0.052670373569142497,0.024023182127582993,0.0037726814393735882,0.025679378833879316,-0.012730274630834204,0.013446853721464992,0.03990555019200754
KARLSRUHE,51,+49:02:21,+008:21:54,1.2507407407407407,1.2072101449275365,1.485797101449272,0.8887179487179502,0.0025865194217019197,0.017309682322167123,0.0407771668542594,-0.011132689756116346,0.040200584111224597,-0.01053788570163212,0.017918724659394394,0.01797428015794849
MUENCHEN,52,+48:09:51,+011:32:39,1.4878518518518515,1.4885869565217398,1.5448550724637649,0.6923809523809528,0.0058558680626184835,-0.005532772825019398,0.02042754619355652,0.01653430633126023,0.01674394469134696,-0.013684799280903265,0.017498013207265163,0.007369619971834039
POTSDAM,54,+52:23:00,+013:03:50,1.392296296296296,1.532427536231884,1.0942391304347794,0.5322710622710609,0.028821863307266955,0.02805110401178305,0.029334237221116694,0.04856731565014187,0.029347922284080515,-0.006922327626999073,0.023275144278648668,0.0414659250074664
SCHWERIN,55,+53:38:39,+011:23:18,1.366814814814815,1.4822463768115952,1.122644927536232,0.6104395604395592,-0.02400962814734115,0.004496551725367804,0.061918759224536386,0.05696131316009258,0.022332650248032854,-0.018442093586997478,0.03166368503750183,0.04057782319326161
ZUGSPITZE,58,+47:25:19,+010:59:12,0.6731851851851847,0.9827536231884055,1.3753260869565216,0.35534798534798506,0.005883526083101665,-0.0027969820087551138,0.0035571066312367365,-0.005771880274036497,0.019589866696064127,-0.020334551612584018,0.026588598550629738,0.010008707607127404
