STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter,mean_diff_pers_spring,mean_diff_pers_summer,mean_diff_pers_autumn
KEM'-PORT,79,+64:58:59,+034:48:59,1.6881419753086426,1.2154145103339156,0.39029690471506306,0.7738537003120336,-0.03188250350288172,0.02274230860001395,0.05609437586330667,0.04028782887480982
KURSK,80,+51:46:00,+036:10:00,2.2854355044699872,1.7653898050974517,1.0840873966841116,1.007655677655677,0.0692301419272627,-0.00047951791406043416,0.011651422732919619,0.025169237371685707
KOJNAS,81,+64:45:00,+047:39:00,1.3854734824005828,1.3826529564239252,0.6056662996207169,0.9804003139717424,-0.05203377018061143,-0.016750535180516293,-0.03766950542584786,-0.012933718333394215
KOSTROMA,82,+57:43:59,+040:51:00,2.457045308977067,1.5185969515242377,0.6392345423604411,0.982619047619048,-0.006767958776719129,-0.008894526737638473,-0.007278777847627642,0.06924277793706607
KOTLAS,83,+61:16:00,+046:43:00,1.919223112604655,1.278282108945527,0.2457206057370378,0.8711564625850337,-0.05765859106906799,-0.013769198000084632,-0.00857922637291855,-0.047374633642996725
KRASNOUFIMSK,84,+56:39:00,+057:46:59,1.4492133902029174,0.9527136431784111,0.404492114073431,1.1976295133437989,-0.008096929384644267,-0.005989770667020666,0.007039184976536095,0.02677039055259367
SANKT-PETERBURG,85,+59:58:00,+030:18:00,2.505802043422733,1.7456821589205394,1.02228385807096,1.012224097480071,-0.017858308953184302,0.03301257846557891,0.042176962445876355,-0.003999822973449245
MURMANSK,86,+68:58:00,+033:02:59,1.3904942528735624,1.2816916541729135,0.22626061969015332,0.7947214854111406,0.00909534867221154,0.0010235658008423095,-0.011783477750796429,0.06587004194858817
MOSKVA VDNX,87,+55:49:59,+037:37:00,2.617266922094508,1.5308220889555226,0.8851274362818558,0.943347227485158,0.023887804142244597,-0.013536768446755009,0.018894685335026785,0.04323300364796222
NAR'YAN-MAR,88,+67:37:59,+053:01:59,1.1287665761923193,2.0784607696151918,0.6623164123540555,0.9714050235478806,-0.053466801114016534,0.0032682642237441308,0.030735681409478025,0.011287170363966073
UFA,89,+54:43:00,+055:49:59,1.870714603708013,1.053988005997001,0.575630567316562,1.4087493458922036,0.0072850111049464475,-0.023531913235417107,-0.05381827563964947,0.026478137930383113
ONEGA,90,+63:54:00,+038:07:00,1.7379302198670175,1.3212206396801598,0.616021082896772,0.8808058608058609,0.00013007341599042388,0.028533182511599288,-0.007627091525606867,0.00590080674554094
ORENBURG,91,+51:40:59,+055:06:00,1.9280147200321718,1.0520089955022494,0.6034175592556714,1.3394139194139187,0.007368761268021503,-0.0010116019233543069,0.028966244144615634,0.06515697088024897
PAVELEÑ,92,+53:46:59,+039:15:00,2.2511693737164844,1.4130497251374319,0.6224842893211857,0.8747950736927113,0.019405222938737525,-0.029144736807646385,0.03138922744773063,0.04885164841279709
PECHORA,94,+65:07:00,+057:06:00,1.1511213217870804,1.5568703148425787,0.28381852914678163,1.1063631807974097,-0.002607247118511402,-0.01900493279078257,0.009223301310493297,-0.004358822250738425
PSKOV,95,+57:49:00,+028:19:59,2.4709514687100897,1.9158557490096353,0.8162916727800322,0.640207449866284,0.06181311805983979,0.0354526676972718,0.04097577856967312,0.06166650490005019
SARATOV,96,+51:34:00,+045:01:59,2.4504977955854272,1.2669677661169416,0.71730713403851,1.2139167974882277,0.04402600538009541,0.00023137579152454382,0.031357420119686466,0.06375313592524931
SMOLENSK,97,+54:45:00,+032:04:00,2.554180076628353,2.078738130934533,0.8358120939530238,0.8888619426550459,0.05329699580555666,0.012506897533328098,0.038083698782481544,0.05875536180336605
SORTAVALA,98,+61:43:00,+030:43:00,2.3495747055352973,1.5684433490545258,0.7017243013667596,0.7507805514147616,-0.004450290905468927,0.003830651618850813,0.047660480501472986,0.06961130985419185
SY'KTY'VKAR,99,+61:40:00,+050:52:00,2.087844147652836,1.3303328319350767,0.2909186993226367,0.9642255363683934,-0.04204709650313047,0.011375487066938791,0.017962306507439862,0.026684469275931315
TAMBOV,100,+52:48:00,+041:30:00,2.2243517010612788,1.22426411794103,0.6002617148831604,1.0485949764521196,-0.0018188374863363566,-0.04053038010065967,-0.005505108383650453,0.03064562128336466
TROIÑKO-PECHORSKOE,101,+62:42:00,+056:12:00,1.199809558686253,1.1707183908045977,0.34202475891755313,1.0356621832653268,-0.047801498785396954,-0.019221952776871686,0.015896137323585274,-0.000951330854245496
UST'-CIL'MA,102,+65:25:59,+052:16:00,1.060292088521246,1.6511619190404796,0.38918107043945405,1.0348927263212975,-0.014731159679386248,0.03427535396686166,0.02132244552505778,-0.014833241412881955
VELIKIE LUKI,103,+56:21:00,+030:37:00,2.5890472541507012,1.9041154422788606,1.0890230310723545,0.8297713780472407,0.07037857163245637,0.014400905829975007,0.0723414145004123,0.1050050775616515
VY'TEGRA,104,+61:01:00,+036:27:00,2.062998492094266,1.494473476141569,0.7797274405774832,0.8335875701014683,-0.01617321347873717,0.013466411733774082,0.03501167298664391,0.019869217851038495
VOLOGDA,105,+59:19:00,+039:55:00,1.9661575115247079,1.0436019490254878,0.3408208204033034,0.5867425431711144,-0.03644277589570139,-0.009308053480132894,0.036268802109558844,0.017714671588440343
VESTERVIG,107,+56:46:45,+008:19:54,1.5308959381484326,1.2903327278776873,0.8902602405110844,0.5684061209402635,-0.034012766402885114,0.033595809339145785,0.05987098099234956,-0.012228752570526422
JERUSALEM CENTRAL,132,+31:46:00,+035:13:00,-0.0607514236541995,0.9881726763333205,1.186118150817638,0.6160831596712413,-0.10843949596871542,-0.08079588303309755,0.008168481176465377,-0.5323204855916903
ELAT,142,+29:33:00,+034:57:00,0.7386566250484137,1.4540754338818012,1.8953682374512617,1.493217331019828,0.8424332525436542,0.8173339366742001,0.7706371564380584,0.8128606389781409
ELAT-1,143,+29:33:00,+034:57:00,0.7386566250484137,1.4540754338818012,1.8953682374512617,1.493217331019828,0.8424332525436542,0.8173339366742001,0.7706371564380584,0.8128606389781409
DEN HELDER,160,+52:57:41,+004:44:49,1.1258863346104722,1.5015009536851363,1.0349337831084444,0.4677845143362376,0.005143639342780592,0.004581629641475123,0.04767335921482392,0.05418279741227392
DE KOOY,161,+52:55:36,+004:46:51,1.4047011494252866,1.653602402960499,1.3327236381809087,0.8888467853985098,-0.00021358534674028348,-0.002057713309239182,0.06604681539939987,0.06979804019935124
DE BILT,162,+52:05:56,+005:10:46,1.41992337164751,1.6074300349825101,1.272386306846574,0.8195275988379436,0.08225651027266025,-0.043780243753199895,-0.03136884412072354,0.07976789536292532
GRONINGEN,163,+53:13:00,+006:33:00,1.3924303959131543,1.5471697151986428,1.1465342328835586,0.6879196665403544,0.06219642483802357,0.005473660864942639,0.046270401223959645,0.05648747994950767
EELDE,164,+53:07:24,+006:35:04,1.409097062579821,1.5627131934595129,1.1685632183908066,0.7047694833901712,0.0626540894478199,0.007411182010866971,0.049090684671662235,0.05664429398592167
WEST SOUBURG,165,+51:27:00,+003:36:00,1.2532349936143041,1.5914242878560731,1.397621189405296,0.9514197296955906,0.0715392505543782,0.0021993102961062726,-0.07086238790294412,0.050508672844970647
VLISSINGEN,166,+51:26:29,+003:35:44,1.2395312899106004,1.6360619690154934,1.3397951024487753,0.8538739421498036,0.08578832694743103,-0.00441918651225202,-0.05759737275084127,0.0589917271769142
MAASTRICHT,168,+50:54:19,+005:45:42,1.1428033205619417,1.622849195480999,1.5229235382308843,0.822809144878109,0.08772187696803282,-0.02403139911061177,0.010251211201801575,0.06571992710802835
BOLOGNA,169,+44:30:00,+011:20:45,0.8893095176903967,0.9675669746353286,1.4612864309603424,0.5681353580362725,0.0973808966956457,0.06989354792523594,0.0007196683465625208,0.04211416141544315
BJOERNOEYA,179,+74:31:00,+019:01:00,2.5792770466902324,1.6341454272863576,0.918070964517741,1.031278261967917,-0.02025186553410278,-0.004527735715705696,-0.018313529532649187,0.062049427843788044
HOPEN,187,+76:30:00,+025:04:00,3.5348084291187742,2.4530172413793085,1.1009507746126936,1.6369369710749022,-0.02449005201322018,-0.020235041559276377,-0.007215777155372483,0.0017262704696081
GLOMFJORD,188,+66:49:00,+013:58:59,1.3064996591683709,0.5149747509216276,0.5225937285307687,0.45369297240177353,-0.02552308339330937,0.04603896892636176,0.0007589996361403402,0.030622758637380273
JAN MAYEN,189,+70:55:59,-008:40:00,2.1507266922094512,1.573077211394303,1.2649425287356322,1.1261374257925982,-0.03290421298058626,0.05647069108109042,-0.014742698202181515,-0.048289678991629635
KARASJOK,190,+69:28:00,+025:30:11,2.0067905491698603,1.482480009995002,0.47871314342828697,0.5944259189086776,0.02721187783847831,0.030698459722822296,-0.036886732731959915,0.04443505692488108
KJOEREMSGRENDE,191,+62:06:00,+009:03:00,2.0167049808429107,1.1176152643588217,0.522353555365175,0.6404027159317207,-0.017527580991809878,0.02048245181406516,0.03431254608145822,0.08128718922062564
FAERDER FYR,192,+59:01:36,+010:31:48,1.5958958172953552,1.3869085929476208,0.7172701149425311,0.4944552900539225,0.05080061876581568,0.012740665098065915,0.02322043381061117,0.038757886565818675
OSLO BLINDERN,193,+59:56:34,+010:43:14,1.9229999999999996,1.4224775112443773,0.7264967516241878,0.6810079575596806,0.07297813188897631,0.03198482007707034,-0.012814239823717408,0.05536313909458457
UTSIRA FYR,194,+59:18:28,+004:52:41,1.1256451434172958,0.9526294073518384,0.9027273863068448,0.48048145117294183,0.06724520915714173,0.012073243703830635,0.06237981148385874,0.10095680419264128
VARDOE,195,+70:22:01,+031:05:04,1.3501621966794377,1.183600699650175,0.6535757121439278,0.9145066053481514,0.04284619116985865,0.05688185068468727,0.04694251523547914,0.10075615556182792
NESBYEN-SKOGLUND,196,+60:34:06,+009:07:18,2.829484910723828,1.6540050004025577,0.6784139387433399,0.583429288546085,0.05526189626380493,0.0829397976671555,0.028620267170101486,0.11023083977820151
GULBENE,198,+57:07:59,+026:43:00,2.240524691358025,1.8256748817667763,0.9083501949365846,0.6896837573926522,0.09571486130770324,0.03570105439070872,0.040177572255195235,0.0961665577510029
LIEPAJA,199,+56:28:59,+021:01:00,1.823487580693429,1.7033539143545466,0.9856064532165636,0.3373571428571438,0.0874650682315138,-0.0021015895687296025,-0.03106121433753537,-0.0021517369077411652
LUXEMBOURG AIRPORT,203,+49:37:33,+006:12:12,1.269256704980843,1.723123438280859,1.916747876061967,1.0416685613237338,0.09661280381077408,0.025179827232376797,0.00961813348170284,0.0235403608969387
SZCZECIN,208,+53:23:43,+014:37:22,1.5444827586206897,1.5962143928035966,0.9715892053973043,0.5397499052671471,0.046683719250883944,0.010012039812420753,0.021874428677889704,0.016380919098037395
LISBOA GEOFISICA,214,+38:43:08,-009:08:57,0.4344927289252425,0.9223250874562705,0.7068178410794594,0.37000885897019486,0.16316826073817928,0.06976033170056603,0.0235689930109794,0.08987891538405372
HURBANOVO,227,+47:52:00,+018:10:59,0.8730102171136654,1.2517778610694634,1.624256621689156,0.7415144625489472,0.08222737407062151,0.038283496884481634,0.019952923957423714,-0.01530318955397109
LJUBLJANA BEZIGRAD,228,+46:03:56,+014:30:45,1.4848844395006797,1.7301224387806116,2.107928535732132,1.195691680066206,0.017590922414780625,-0.012566611517849382,-0.0004448440267292273,0.025175021563665877
MADRID - RETIRO,230,+40:24:42,-003:40:41,0.7576960408684563,1.372048975512243,2.2606084457771125,1.0733219653909352,0.007006888913524896,-0.02940696954833171,-0.0314045239085211,0.015839446593933274
MALAGA AEROPUERTO,231,+36:40:00,-004:29:17,0.45215516885695983,0.8204238789696099,1.3012910089073095,0.7858108070344834,-0.0568920218845155,-0.016459914504730118,-0.023565197799085304,-0.03366775340203411
NAVACERRADA,232,+40:46:50,-004:00:37,1.1345619412515964,1.642045227386308,1.8665567216391814,0.888168498168497,-0.018616272515318825,-0.029181215292122597,0.002249486379220085,-0.03433691415345855
SALAMANCA AEROPUERTO,233,+40:57:33,-005:29:53,0.5215031928480212,0.8645514742628713,0.8455483281981095,0.5079214467614737,0.019408238581931418,-0.03064206510594759,-0.012928140463641108,-0.013755306421058352
SAN SEBASTIAN - IGUELDO,234,+43:18:27,-002:02:21,0.7062081736909338,0.9306221889055468,0.8790054972513737,0.5857913351016766,-0.021867338996265532,-0.0815868012950055,-0.11509200612973132,-0.07693477884495044
TORTOSA - OBSERVATORIO DEL EBRO,236,+40:49:14,+000:29:29,0.38328607918263025,1.195426036981507,1.9043578210894552,0.9481735505873452,0.027071232589811114,-0.01932382385299695,0.011338596490819575,0.039034861113975174
VALENCIA,237,+39:28:50,-000:21:59,0.988097062579822,1.4410782108945526,1.7539580209895078,1.355278514588857,0.014788620611686114,-0.01002156426951074,0.02261218453930726,-0.020486828509784456
ZARAGOZA AEROPUERTO,238,+41:39:42,-001:00:29,0.8359770114942524,1.6165331142077992,2.10663418290855,1.4083251863558228,0.0821262344171588,-0.014816104449843973,-0.017338699313896595,0.01856395486321395
BASEL BINNINGEN,239,+47:31:59,+007:34:59,1.3733908045977008,1.501907796101948,1.6817991004497763,1.086271314892004,-0.005981495725585124,0.0384558009863343,0.03856887783733763,0.007216681958826384
GENEVE COINTRIN,240,+46:15:00,+006:07:59,0.9531966794380586,1.3083708145927044,1.6183333333333287,1.0026398888467867,0.03193448229768175,0.02040487668748705,0.01983935823655165,0.017305665944229283
GENEVE OBSERVATOIRE,241,+46:12:00,+006:09:00,0.9531966794380586,1.3083708145927044,1.6183333333333287,1.0026398888467867,0.03193448229768175,0.02040487668748705,0.01983935823655165,0.017305665944229283
LUGANO,242,+46:00:00,+008:58:00,1.1457882182298622,1.0707158920539737,1.300498500749626,0.8730958696475959,0.07786338283572242,0.11069296629213063,0.09672652303820757,0.015804584819968683
SAENTIS,243,+47:15:00,+009:21:00,1.3813980237435128,1.4412331334332835,1.480747126436782,0.7826626247315902,0.04691451477746382,-0.023852920659596842,-0.02414779663830186,0.023930771949118884
ZUERICH/FLUNTERN,244,+47:22:59,+008:34:00,1.1098505747126437,1.2910694652673662,1.5599200399800104,0.8091575091575098,-0.03696048667656667,-0.008436608700855292,0.08580549018744367,-0.0018632641307192652
